,tweet
0,Michelle and I are eager to bring the Obama Presidential Center to our hometown—a way to honor the city we love all those who came before us and pay tribute to people coming together to do extraordinary things
1,This was fun
2,I heard Tim and Fred were listening to some of the songs on my A Promised Land playlist so I decided to drop in and surprise them
3,We talked about a lot from Bob Dylan to oldschool mixtapes to the role music played in my memoir
4,My memoir A Promised Land is out today
5,I hope you’ll read it
6,My goal was to give you some insight into the events and people that shaped me during the early years of my presidency
7,Most of all I hope it inspires you to see yourself playing a role in shaping a better world
8,Music has always played an important role in my life—and that was especially true during my presidency
9,In honor of my book hitting shelves tomorrow I put together this playlist featuring some memorable songs from my administration
10,Hope you enjoy it
11,More than anyone else I wrote my book for young people—as an invitation to once again remake the world and to bring about through hard work determination and a big dose of imagination an America that finally aligns with all that is best in us
12,Today we’re reminded of our solemn obligation to serve our veterans as well as they have served us
13,To all of our veterans and service members we’re forever grateful for your commitment to our country—and your willingness to put it all on the line for us
14,Thank you
15,Congratulations to my friends and — our next President and Vice President of the United States
16,Thank you Chiney Nneka and all of the athletes who are using their platforms and helping people vote in this election
17,Theres a reason some folks are trying to make it hard for you to vote They know that if you do things change
18,And thats why the answer isnt to stay at home
19,Its to turn out like never before and show them what this country stands for
20,If you are in line to vote before polls close you have the right to vote
21,Stay in line for as long as it takes
22,If you have any questions call the voter hotline at 8333368683
23,We’ve got this
24,This Election Day everything is on the line
25,Our jobs
26,Our health care
27,Whether or not we get this pandemic under control
28,But here’s the good news today you can choose change
29,You can elect and Let’s win this thing
30,This is it –– today is the last day to vote
31,If you havent already find your polling place at
32,For eight years Joe was the last one in the room whenever I faced a big decision
33,He made me a better president
34,And today we have the chance to elect Joe and Kamala to build our country back better
35,But it’s going to take every single one of us
36,Vote
37,More than 100 million Americans have already cast a ballot in this election
38,Joel Monica and Andrés are three of them — and I got to FaceTime with them before they voted
39,Join them and get out there and vote today
40,Our administration literally left this White House a playbook that would have shown them how to respond before COVID19 reached our shores
41,Joe and I revisited it recently
42,Take a look — and then vote for a leader who will get this virus under control
43,On Tuesday you can choose change
44,You can choose a better America
45,You can elect and I am fired up to be back in Florida – let’s bring this home
46,Maaza this is beautiful
47,Thank you for voting—and thank you for staying hopeful
48,Congrats on your first vote Dewey
49,It will make a difference
50,We’ve got to vote up and down the ticket like never before for Democratic candidates
51,Join me for a drivein rally in Georgia with and
52,We can’t afford to be complacent
53,Not this time
54,Not in this election
55,Make a plan right now
56,We can’t just imagine a better future we’ve got to fight for it and vote for it
57,If you haven’t voted yet make sure to return your ballot in person or make a plan to vote at If you’ve already voted text three friends to make sure they have a plan
58,Today is the first day of Open Enrollment
59,If you need coverage or want to renew coverage go to right now and select a plan that works for you
60,And then make sure you get out there and vote like your health care depends on it—because it does
61,Shoot your shot
62,Fired up to be with my friends and in Detroit to make sure everybody turns out to vote in this election
63,Tune in live
64,Dont boo — vote
65,Happy Halloween everybody
66,Three days Michigan
67,Three days until the most important election of our lifetimes
68,Join me and for our first car rally together from Flint
69,You could be the difference between someone making it out to the polls or staying home
70,And many states could be decided by a handful of votes
71,Join me and make some calls for Joe in the last few days of this election
72,Always great talking to and about everything from this unique NBA season to the importance of voting in every election
73,Tune in tonight and make your plan to vote
74,Second volunteer—you can make calls or text voters who can use a nudge to vote for Joe
75,You can be the difference between someone turning in their ballot or showing up to the polls on Tuesday—or not voting
76,Head to for ways to help the campaign
77,If youre wondering how you can support in these final days of the campaign here are two ways you can help
78,First donate what you can
79,It’ll help the team reach the voters we most need to connect with
80,What we do in these next four days will not just decide the next four years but the future of this country
81,Let’s choose hope over fear
82,I’m counting on you
83,An important reminder as millions of folks across the country vote early or make plans to vote on November 3 You have the right to vote
84,If you run into any issues at your polling place call 18666878683 or your voter protection hotline
